Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio
HLE Glascoat Ltd,HLEGLAS,Industrial Machinery,2552.137564,2450.7,62.26430172
Tata Teleservices (Maharashtra) Ltd,TTML,Telecom Services,2531.631406,12.95,-0.681625308
NIIT Ltd,NIITLTD,Education Services,2530.893816,177.8,2.068426264
Nirlon Ltd,NIRLON,,2503.479151,277.8,22.87117807
Angel Broking Ltd,ANGELBRKG,Investment Banking & Brokerage,2496.117596,305.05,26.66918721
Jindal SAW Ltd,JINDALSAW,Building Products - Pipes,2492.710666,78.4,4.519024997
JK Paper Ltd,JKPAPER,Paper Products,2478.356293,146.3,5.486206447
Kirloskar Oil Engines Ltd,KIRLOSENG,Industrial Machinery,2475.7893,171.2,13.36965807
Kennametal India Ltd,KENNAMET,Industrial Machinery,2466.507984,1122.25,72.75834761
Rupa & Company Ltd,RUPA,Apparel & Accessories,2466.454228,310.15,39.95050668
Paushak Ltd,PAUSHAKLTD,,2462.45498,7989.5,70.51703838
Subex Ltd,SUBEXLTD,Software Services,2443.100069,45.15,-14.60069264
Oriental Aromatics Ltd,OAL,Specialty Chemicals,2428.77858,721.7,28.17935468
La Opala R G Ltd,LAOPALA,Housewares,2414.25,217.5,28.6489854
Greenpanel Industries Ltd,GREENPANEL,Wood Products,2402.270668,195.9,83.12355253
Minda Corporation Ltd,MINDACORP,Auto Parts,2396.301673,102.2,-11.57207966
Raymond Ltd,RAYMOND,Apparel & Accessories,2394.657104,359.7,11.56388052
Forbes & Company Ltd,FORBESCO,,2363.800368,1832.6,-7.281970266
Greenlam Industries Ltd,GREENLAM,Building Products - Laminates,2359.692604,977.65,27.22617519
Tata Coffee Ltd,TATACOFFEE,Tea & Coffee,2345.835847,125.6,28.4654271
Matrimony.Com Ltd,MATRIMONY,Online Services,2344.33449,1025,78.93181656
Greenply Industries Ltd,GREENPLY,Wood Products,2332.98619,190.25,49.3753691
Schneider Electric Infrastructure Ltd,SCHNEIDER,Heavy Electrical Equipments,2307.353938,96.5,-78.03023124
DEN Networks Ltd,DEN,Cable & D2H,2305.163194,48.35,32.95444761
Venky's (India) Ltd,VENKEYS,Packaged Foods & Meats,2294.90875,1628.75,-84.47992824
Ramco Industries Ltd,RAMCOIND,Cement,2294.837829,264.8,13.53647041
Marksans Pharma Ltd,MARKSANS,Pharmaceuticals,2292.156709,56,19.58773465
Shree Renuka Sugars Ltd,RENUKA,Sugar,2288.126506,10.75,0.981616896
Ingersoll-Rand (India) Ltd,INGERRAND,Industrial Machinery,2287.41728,724.6,27.03802931
Unichem Laboratories Ltd,UNICHEMLAB,Pharmaceuticals,2282.906444,324.25,-37.92857532
Healthcare Global Enterprises Ltd,HCG,Hospitals & Diagnostic Centres,2263.988669,180.6,-14.94644094
GHCL Ltd,GHCL,Commodity Chemicals,2253.715144,237.2,5.772459896
Triveni Engineering and Industries Ltd,TRIVENI,Sugar,2239.861094,92.65,6.993445448
Gateway Distriparks Ltd,GDL,Logistics,2238.30783,179.3,19.45151408
Shoppers Stop Ltd,SHOPERSTOP,Retail - Department Stores,2229.28138,203.85,-13.34154476
Balmer Lawrie and Company Ltd,BALMLAWRIE,Conglomerates,2220.48494,129.85,13.77111966
IFCI Ltd,IFCI,Specialized Finance,2218.311918,11.7,-8.61096996
Orient Cement Ltd,ORIENTCEM,Cement,2201.314826,107.45,25.42230517
Jaiprakash Power Ventures Ltd,JPPOWER,Renewable Energy,2188.944349,3.2,-0.949920526
Easy Trip Planners Ltd,EASEMYTRIP,Tour & Travel Services,2187.567075,201.35,66.33011143
Neogen Chemicals Ltd,NEOGEN,Specialty Chemicals,2186.802601,937.15,71.00325807
LT Foods Ltd,DAAWAT,Packaged Foods & Meats,2182.940623,68.25,11.83101525
Vesuvius India Ltd,VESUVIUS,Industrial Machinery,2182.336002,1075.25,41.13734217
Newgen Software Technologies Ltd,NEWGEN,Software Services,2174.661281,313.9,29.67839768
Transport Corporation of India Ltd,TCI,Logistics,2173.056454,281.85,15.19410269
Astec Lifesciences Ltd,ASTEC,Fertilizers & Agro Chemicals,2172.553663,1109.15,45.65558527
Somany Home Innovation Ltd,SHIL,Home Furnishing,2159.131837,298.65,46.69402761
Bannari Amman Sugars Ltd,BANARISUG,Sugar,2145.98156,1711.35,22.44046387
Borosil Ltd,BOROLTD,Housewares,2144.875382,187.95,29.9741191
Eveready Industries India Ltd,EVEREADY,Batteries,2137.36888,294.05,11.9888315
Hikal Ltd,HIKAL,Pharmaceuticals,2133.102975,173,25.26475157
Garden Reach Shipbuilders & Engineers Ltd,GRSE,Shipbuilding,2127.23064,185.7,13.01217666
Maithan Alloys Ltd,MAITHANALL,Iron & Steel,2123.396457,729.4,9.563556533
Mrs. Bectors Food Specialities Ltd,BECTORFOOD,FMCG - Foods,2113.699574,359.8,67.80190305
Goodyear India Ltd,GOODYEAR,Tires & Rubber,2109.316733,914.45,23.74287182
Motilal Oswal NASDAQ 100 ETF,N100,Equity,2106.849474,1013.47,
VRL Logistics Ltd,VRLLOG,Logistics,2096.872519,232.1,23.26756013
Huhtamaki India Ltd,HUHTAMAKI,Packaging,2096.866498,277.65,21.84500393
JTEKT India Ltd,JTEKTINDIA,Auto Parts,2093.975217,85.65,69.17658464
